Vuosi,Kk,Pv,Klo,Aikavyöhyke,Kuukauden sadesumma (mm),Kuukauden keskilämpötila (degC)
1990,1,1,00:00,UTC,33.8,-16.4
1990,2,1,00:00,UTC,63.1,-4.3
1990,3,1,00:00,UTC,12.8,-7
1990,4,1,00:00,UTC,10,-0.3
1990,5,1,00:00,UTC,20.1,3.9
1990,6,1,00:00,UTC,50.9,10
1990,7,1,00:00,UTC,65.9,12.6
1990,8,1,00:00,UTC,46.3,11.2
1990,9,1,00:00,UTC,4.7,4.5
1990,10,1,00:00,UTC,34.7,-0.7
1990,11,1,00:00,UTC,28.6,-10.3
1990,12,1,00:00,UTC,61.1,-7
1991,1,1,00:00,UTC,32.8,-12
1991,2,1,00:00,UTC,9.6,-16.9
1991,3,1,00:00,UTC,63.6,-10.1
1991,4,1,00:00,UTC,13.5,-1.8
1991,5,1,00:00,UTC,31.4,2.7
1991,6,1,00:00,UTC,87.7,10
1991,7,1,00:00,UTC,16,13.1
1991,8,1,00:00,UTC,50.5,11.8
1991,9,1,00:00,UTC,56.6,3.4
1991,10,1,00:00,UTC,71.7,-0.5
1991,11,1,00:00,UTC,69.9,-6.1
1991,12,1,00:00,UTC,25.6,-9.3
1992,1,1,00:00,UTC,34.5,-9.6
1992,2,1,00:00,UTC,26,-7
1992,3,1,00:00,UTC,47.7,-4.6
1992,4,1,00:00,UTC,26.5,-5.1
1992,5,1,00:00,UTC,36.1,6.1
1992,6,1,00:00,UTC,52.1,12.8
1992,7,1,00:00,UTC,122.1,10.7
1992,8,1,00:00,UTC,144.1,8.5
1992,9,1,00:00,UTC,114.7,7.5
1992,10,1,00:00,UTC,22.1,-9.5
1992,11,1,00:00,UTC,29.5,-10.2
1992,12,1,00:00,UTC,86.3,-5.6
1993,1,1,00:00,UTC,47.3,-10.1
1993,2,1,00:00,UTC,10.2,-10.4
1993,3,1,00:00,UTC,52.1,-8.5
1993,4,1,00:00,UTC,42.5,-3
1993,5,1,00:00,UTC,48.7,4.1
1993,6,1,00:00,UTC,67.8,6.6
1993,7,1,00:00,UTC,54.2,13.6
1993,8,1,00:00,UTC,32.8,10.3
1993,9,1,00:00,UTC,18.7,2
1993,10,1,00:00,UTC,72.6,-5.1
1993,11,1,00:00,UTC,8.1,-5.6
1993,12,1,00:00,UTC,56.4,-11.1
1994,1,1,00:00,UTC,47.9,-18.2
1994,2,1,00:00,UTC,7.8,-13.5
1994,3,1,00:00,UTC,30.8,-7.6
1994,4,1,00:00,UTC,37.4,0.4
1994,5,1,00:00,UTC,36.2,3
1994,6,1,00:00,UTC,38.4,9.9
1994,7,1,00:00,UTC,39.7,13.5
1994,8,1,00:00,UTC,67.2,11.5
1994,9,1,00:00,UTC,37.1,4.5
1994,10,1,00:00,UTC,40.3,-1.7
1994,11,1,00:00,UTC,34.2,-9.2
1994,12,1,00:00,UTC,44.2,-6.7
1995,1,1,00:00,UTC,19.5,-10.4
1995,2,1,00:00,UTC,48.8,-8.8
1995,3,1,00:00,UTC,44.8,-4.3
1995,4,1,00:00,UTC,17.5,-2.8
1995,5,1,00:00,UTC,27.1,2.5
1995,6,1,00:00,UTC,107.8,11.6
1995,7,1,00:00,UTC,54.4,11.4
1995,8,1,00:00,UTC,124.5,10.5
1995,9,1,00:00,UTC,23,4.5
1995,10,1,00:00,UTC,105.2,-1.8
1995,11,1,00:00,UTC,62.9,-12.3
1995,12,1,00:00,UTC,9,-18.5
1996,1,1,00:00,UTC,8.2,-9.3
1996,2,1,00:00,UTC,30.2,-14.2
1996,3,1,00:00,UTC,17.2,-7.2
1996,4,1,00:00,UTC,60.8,-3.6
1996,5,1,00:00,UTC,27.3,1.1
1996,6,1,00:00,UTC,52.3,9
1996,7,1,00:00,UTC,43.1,12
1996,8,1,00:00,UTC,35.3,13.5
1996,9,1,00:00,UTC,24.2,4.5
1996,10,1,00:00,UTC,83.8,0.8
1996,11,1,00:00,UTC,76.5,-8.5
1996,12,1,00:00,UTC,29.7,-13.7
1997,1,1,00:00,UTC,48.9,-13.5
1997,2,1,00:00,UTC,57,-12.4
1997,3,1,00:00,UTC,55.4,-7.6
1997,4,1,00:00,UTC,26,-6.6
1997,5,1,00:00,UTC,30.9,2.8
1997,6,1,00:00,UTC,4.1,11.6
