Vuosi,Kk,Pv,Klo,Aikavyöhyke,Kuukauden sadesumma (mm),Kuukauden keskilämpötila (degC)
1990,1,1,00:00,UTC,56.3,-12.1
1990,2,1,00:00,UTC,46.4,-0.5
1990,3,1,00:00,UTC,45.5,-2.8
1990,4,1,00:00,UTC,41.7,3.5
1990,5,1,00:00,UTC,10.7,7.4
1990,6,1,00:00,UTC,40.9,12.2
1990,7,1,00:00,UTC,78.1,15.2
1990,8,1,00:00,UTC,54.2,13.8
1990,9,1,00:00,UTC,12.6,6.8
1990,10,1,00:00,UTC,28.4,2.6
1990,11,1,00:00,UTC,47,-7.1
1990,12,1,00:00,UTC,39.7,-4.7
1991,1,1,00:00,UTC,21.9,-11.3
1991,2,1,00:00,UTC,18.9,-12.4
1991,3,1,00:00,UTC,23.4,-5.8
1991,4,1,00:00,UTC,32.9,1.6
1991,5,1,00:00,UTC,59.8,6.6
1991,6,1,00:00,UTC,127.4,13.1
1991,7,1,00:00,UTC,60.2,16.3
1991,8,1,00:00,UTC,34.6,14.7
1991,9,1,00:00,UTC,76.7,7.6
1991,10,1,00:00,UTC,39.2,4.8
1991,11,1,00:00,UTC,64.7,1.3
1991,12,1,00:00,UTC,39.4,-5.7
1992,1,1,00:00,UTC,45.7,-7.6
1992,2,1,00:00,UTC,34.2,-5.8
1992,3,1,00:00,UTC,37.1,-1
1992,4,1,00:00,UTC,44.9,-1.6
1992,5,1,00:00,UTC,31.6,9.2
1992,6,1,00:00,UTC,27.2,14.5
1992,7,1,00:00,UTC,77,14.6
1992,8,1,00:00,UTC,162.5,12.5
1992,9,1,00:00,UTC,90.8,11.3
1992,10,1,00:00,UTC,64.1,-3.3
1992,11,1,00:00,UTC,56,-6.8
1992,12,1,00:00,UTC,38.3,-2.1
1993,1,1,00:00,UTC,18.7,-7.5
1993,2,1,00:00,UTC,15.2,-6.8
1993,3,1,00:00,UTC,45.7,-3.6
1993,4,1,00:00,UTC,15,0.1
1993,5,1,00:00,UTC,30.8,9.9
1993,6,1,00:00,UTC,56.8,10.3
1993,7,1,00:00,UTC,117.1,15.3
1993,8,1,00:00,UTC,67.1,12.9
1993,9,1,00:00,UTC,60.3,4.3
1993,10,1,00:00,UTC,64.6,0.2
1993,11,1,00:00,UTC,10.1,-7.9
1993,12,1,00:00,UTC,49.3,-7.6
1994,1,1,00:00,UTC,45.5,-10.6
1994,2,1,00:00,UTC,5.6,-18.1
1994,3,1,00:00,UTC,44.9,-5.4
1994,4,1,00:00,UTC,41.5,3.1
1994,5,1,00:00,UTC,34.6,5.9
1994,6,1,00:00,UTC,30.6,13
1994,7,1,00:00,UTC,79.4,17.3
1994,8,1,00:00,UTC,72.7,13.6
1994,9,1,00:00,UTC,132.3,8.8
1994,10,1,00:00,UTC,77.6,2.8
1994,11,1,00:00,UTC,32.1,-4.5
1994,12,1,00:00,UTC,42.2,-4.4
1995,1,1,00:00,UTC,23.7,-5.7
