Vuosi,Kk,Pv,Klo,Aikavyöhyke,Kuukauden sadesumma (mm),Kuukauden keskilämpötila (degC)
1990,1,1,00:00,UTC,37.3,-15
1990,2,1,00:00,UTC,51.7,-2.3
1990,3,1,00:00,UTC,18.3,-5.3
1990,4,1,00:00,UTC,7.5,1.1
1990,5,1,00:00,UTC,3.2,6.9
1990,6,1,00:00,UTC,38.2,12.5
1990,7,1,00:00,UTC,50.7,14.7
1990,8,1,00:00,UTC,79.8,13.2
1990,9,1,00:00,UTC,10.6,6.1
1990,10,1,00:00,UTC,26.6,1.4
1990,11,1,00:00,UTC,25,-10.1
1990,12,1,00:00,UTC,40.3,-5.7
1991,1,1,00:00,UTC,26.1,-10.9
1991,2,1,00:00,UTC,12.3,-18.1
1991,3,1,00:00,UTC,55.8,-7.9
1991,4,1,00:00,UTC,11.2,0.1
1991,5,1,00:00,UTC,39.8,4.5
1991,6,1,00:00,UTC,52.3,11.3
1991,7,1,00:00,UTC,40,15.3
1991,8,1,00:00,UTC,65.8,13.8
1991,9,1,00:00,UTC,30.4,5
1991,10,1,00:00,UTC,47.1,0.9
1991,11,1,00:00,UTC,52.3,-3.6
1991,12,1,00:00,UTC,13.2,-6.9
1992,1,1,00:00,UTC,22,-8.4
1992,2,1,00:00,UTC,27.3,-6.5
1992,3,1,00:00,UTC,44,-2.9
1992,4,1,00:00,UTC,16.5,-3.1
1992,5,1,00:00,UTC,26.9,8.5
1992,6,1,00:00,UTC,59.7,14.3
1992,7,1,00:00,UTC,125,12.7
1992,8,1,00:00,UTC,122.2,10.2
1992,9,1,00:00,UTC,85.8,8.7
1992,10,1,00:00,UTC,19.9,-7.3
1992,11,1,00:00,UTC,45.4,-8.6
1992,12,1,00:00,UTC,43.6,-4
1993,1,1,00:00,UTC,49.2,-9.7
1993,2,1,00:00,UTC,13.8,-8.6
1993,3,1,00:00,UTC,61.6,-6.2
1993,4,1,00:00,UTC,23.4,-0.9
1993,5,1,00:00,UTC,32.7,7.1
1993,6,1,00:00,UTC,68.8,9.3
1993,7,1,00:00,UTC,67.8,15.1
1993,8,1,00:00,UTC,65,11.7
1993,9,1,00:00,UTC,18.7,3.3
1993,10,1,00:00,UTC,28.7,-2.9
1993,11,1,00:00,UTC,17.5,-4.3
1993,12,1,00:00,UTC,72.8,-11
1994,1,1,00:00,UTC,38.4,-17.6
1994,2,1,00:00,UTC,7.1,-16.7
1994,3,1,00:00,UTC,32.1,-7.2
1994,4,1,00:00,UTC,44.8,1.8
1994,5,1,00:00,UTC,14.7,5.2
1994,6,1,00:00,UTC,28.2,12
1994,7,1,00:00,UTC,29.3,15.6
1994,8,1,00:00,UTC,50.6,12.8
